I,R
2,0
4,0
6,0
9,0
13,0
21,0
30,0
39,0
41,0
59,0
78,0
112,0
169,1
245,2
331,3
448,4
642,5
785,6
1020,11
1280,17
1600,19
2060,37
2362,55
2995,65
3544,103
